,SENADOR,UF,PARTIDO,VOTO,file
1,Acir Gurgacz                                                  ,RO,PDT,Sim,PEC 10_2020.pdf
2,Alessandro Vieira                                              ,SE,CIDADANIA,Não,PEC 10_2020.pdf
3,Alvaro Dias                                                    ,PR,PODEMOS,Sim,PEC 10_2020.pdf
4,Angelo Coronel                                                ,BA,PSD,Não,PEC 10_2020.pdf
5,Antonio Anastasia                                             ,MG,PSD,Não,PEC 10_2020.pdf
6,Arolde de Oliveira                                             ,RJ,PSD,Não,PEC 10_2020.pdf
7,Carlos Viana                                                  ,MG,PSD,Não,PEC 10_2020.pdf
8,Chico Rodrigues                                                ,RR,DEM,Não,PEC 10_2020.pdf
9,Cid Gomes                                                      ,CE,PDT,Impedido (art.306 RISF),PEC 10_2020.pdf
10,Ciro Nogueira                                                  ,PI,PP,Não,PEC 10_2020.pdf
11,Confúcio Moura                                                ,RO,MDB,Não,PEC 10_2020.pdf
12,Daniella Ribeiro                                               ,PB,PP,Não,PEC 10_2020.pdf
13,Dário Berger                                                   ,SC,MDB,Sim,PEC 10_2020.pdf
14,Davi Alcolumbre                                                ,AP,DEM,Presidente (art. 51 RISF),PEC 10_2020.pdf
15,Eduardo Braga                                                 ,AM,MDB,Sim,PEC 10_2020.pdf
16,Eduardo Girão                                                  ,CE,PODEMOS,Não,PEC 10_2020.pdf
17,Eduardo Gomes                                                  ,TO,MDB,Não,PEC 10_2020.pdf
18,Eliziane Gama                                                 ,MA,CIDADANIA,Sim,PEC 10_2020.pdf
19,Elmano Férrer                                                  ,PI,PODEMOS,Não,PEC 10_2020.pdf
20,Esperidião Amin                                                ,SC,PP,Não,PEC 10_2020.pdf
21,Fabiano Contarato                                              ,ES,REDE,Sim,PEC 10_2020.pdf
22,Fernando Bezerra Coelho                                        ,PE,MDB,Não,PEC 10_2020.pdf
23,Fernando Collor                                                ,AL,PROS,Não,PEC 10_2020.pdf
24,Flávio Arns                                                    ,PR,REDE,Não,PEC 10_2020.pdf
25,Flávio Bolsonaro                                               ,RJ,S/Partido,Não,PEC 10_2020.pdf
26,Humberto Costa                                                 ,PE,PT,Não,PEC 10_2020.pdf
27,Irajá                                                          ,TO,PSD,Não,PEC 10_2020.pdf
1,Izalci Lucas                                                  ,DF,PSDB,Não,PEC 10_2020.pdf
2,Jader Barbalho                                                ,PA,MDB,Sim,PEC 10_2020.pdf
3,Jaques Wagner                                                 ,BA,PT,Não,PEC 10_2020.pdf
4,Jarbas Vasconcelos                                             ,PE,MDB,Não,PEC 10_2020.pdf
5,Jayme Campos                                                  ,MT,DEM,Não,PEC 10_2020.pdf
6,Paul Prates                                              ,RN,PT,Não,PEC 10_2020.pdf
7,Jorge Kajuru                                                  ,GO,CIDADANIA,Sim,PEC 10_2020.pdf
8,Jorginho Mello                                                 ,SC,PL,Não,PEC 10_2020.pdf
9,José Maranhão                                                  ,PB,MDB,Sim,PEC 10_2020.pdf
10,José Serra                                                     ,SP,PSDB,Não,PEC 10_2020.pdf
11,Juíza Selma                                                   ,MT,PODEMOS,Não,PEC 10_2020.pdf
12,Kátia Abreu                                                   ,TO,PP,Não,PEC 10_2020.pdf
13,Lasier Martins                                                 ,RS,PODEMOS,Não,PEC 10_2020.pdf
14,Leila Barros                                                  ,DF,PSB,Sim,PEC 10_2020.pdf
15,Luis Carlos Heinze                                             ,RS,PP,Não,PEC 10_2020.pdf
16,Luiz Carlos do Carmo                                          ,GO,MDB,Não,PEC 10_2020.pdf
17,Mailza Gomes                                                  ,AC,PP,Não,PEC 10_2020.pdf
18,Major Olimpio                                                  ,SP,PSL,Sim,PEC 10_2020.pdf
19,Mara Gabrilli                                                  ,SP,PSDB,Não,PEC 10_2020.pdf
20,Marcelo Castro                                                 ,PI,MDB,Sim,PEC 10_2020.pdf
21,Marcio Bittar                                                 ,AC,MDB,Não,PEC 10_2020.pdf
22,Marcos do Val                                                  ,ES,PODEMOS,Não,PEC 10_2020.pdf
23,Marcos Rogério                                                ,RO,DEM,Sim,PEC 10_2020.pdf
24,Maria do Carmo Alves                                           ,SE,DEM,Não,PEC 10_2020.pdf
25,Mecias de Jesus                                               ,RR,REPUBLICANOS,Não,PEC 10_2020.pdf
26,Nelsinho Trad                                                 ,MS,PSD,Não,PEC 10_2020.pdf
27,Omar Aziz                                                     ,AM,PSD,Sim,PEC 10_2020.pdf
1,Oriovisto Guimarães                                           ,PR,PODEMOS,Não,PEC 10_2020.pdf
2,Otto Alencar                                                  ,BA,PSD,Sim,PEC 10_2020.pdf
3,Paulo Albuquerque                                             ,AP,PSD,Não,PEC 10_2020.pdf
4,Paulo Paim                                                    ,RS,PT,Não,PEC 10_2020.pdf
5,Paulo Rocha                                                   ,PA,PT,Não,PEC 10_2020.pdf
6,Plínio Valério                                                ,AM,PSDB,Sim,PEC 10_2020.pdf
7,Randolfe Rodrigues                                            ,AP,REDE,Não,PEC 10_2020.pdf
8,Reguffe                                                       ,DF,PODEMOS,Sim,PEC 10_2020.pdf
9,Renan Calheiros                                               ,AL,MDB,Impedido (art.306 RISF),PEC 10_2020.pdf
10,Roberto Rocha                                                 ,MA,PSDB,Não,PEC 10_2020.pdf
11,Rodrigo Cunha                                                 ,AL,PSDB,Não,PEC 10_2020.pdf
12,Rodrigo Pacheco                                               ,MG,DEM,Sim,PEC 10_2020.pdf
13,Rogério Carvalho                                               ,SE,PT,Não,PEC 10_2020.pdf
14,Romário                                                        ,RJ,PODEMOS,Não,PEC 10_2020.pdf
15,Rose de Freitas                                                ,ES,PODEMOS,Impedido (art.306 RISF),PEC 10_2020.pdf
16,Sérgio Petecão                                                ,AC,PSD,Não,PEC 10_2020.pdf
17,Simone Tebet                                                  ,MS,MDB,Sim,PEC 10_2020.pdf
18,Soraya Thronicke                                              ,MS,PSL,Sim,PEC 10_2020.pdf
19,Styvenson Valentim                                            ,RN,PODEMOS,Não,PEC 10_2020.pdf
20,Tasso Jereissati                                              ,CE,PSDB,Não,PEC 10_2020.pdf
21,Telmário Mota                                                 ,RR,PROS,Abstenção,PEC 10_2020.pdf
22,Vanderlan Cardoso                                             ,GO,PSD,Não,PEC 10_2020.pdf
23,Veneziano Vital do Rêgo                                       ,PB,PSB,Sim,PEC 10_2020.pdf
24,Wellington Fagundes                                           ,MT,PL,Não,PEC 10_2020.pdf
25,Weverton                                                      ,MA,PDT,Sim,PEC 10_2020.pdf
26,Zenaide Maia                                                  ,RN,PROS,Sim,PEC 10_2020.pdf
27,Zequinha Marinho                                              ,PA,PSC,Não,PEC 10_2020.pdf
0,        Altera o inciso,IV,do,"§ 2º do art. 4º da Emenda Constitucional nº 109, de 15 de",PEC 10_2021.pdf
2,Acir Gurgacz                                                  ,RO,PDT,Sim,PEC 10_2021.pdf
3,Alessandro Vieira                                             ,SE,CIDADANIA,Sim,PEC 10_2021.pdf
4,Alvaro Dias                                                   ,PR,PODEMOS,Sim,PEC 10_2021.pdf
5,Angelo Coronel                                                ,BA,PSD,Sim,PEC 10_2021.pdf
6,Antonio Anastasia                                            ,MG,PSD,Sim,PEC 10_2021.pdf
7,Carlos Fávaro                                                 ,MT,PSD,Sim,PEC 10_2021.pdf
8,Carlos Portinho                                               ,RJ,PL,Sim,PEC 10_2021.pdf
9,Carlos Viana                                                 ,MG,PSD,Sim,PEC 10_2021.pdf
10,Chico Rodrigues                                               ,RR,DEM,Sim,PEC 10_2021.pdf
11,Chiquinho Feitosa                                             ,CE,DEM,P-NRV,PEC 10_2021.pdf
12,Cid Gomes                                                     ,CE,PDT,AP,PEC 10_2021.pdf
13,Daniella Ribeiro                                              ,PB,PP,Sim,PEC 10_2021.pdf
14,Dário Berger                                                  ,SC,MDB,Sim,PEC 10_2021.pdf
15,Davi Alcolumbre                                               ,AP,DEM,Sim,PEC 10_2021.pdf
16,Eduardo Braga                                                ,AM,MDB,Sim,PEC 10_2021.pdf
17,Eduardo Girão                                                 ,CE,PODEMOS,Sim,PEC 10_2021.pdf
18,Eduardo Gomes                                                 ,TO,MDB,P-NRV,PEC 10_2021.pdf
19,Eliane Nogueira                                               ,PI,PP,Não,PEC 10_2021.pdf
20,Eliziane Gama                                                ,MA,CIDADANIA,P-NRV,PEC 10_2021.pdf
21,Elmano Férrer                                                 ,PI,PP,AP,PEC 10_2021.pdf
22,Esperidião Amin                                               ,SC,PP,Sim,PEC 10_2021.pdf
23,Fabiano Contarato                                             ,ES,REDE,MIS,PEC 10_2021.pdf
24,Fernando Bezerra Coelho                                       ,PE,MDB,AP,PEC 10_2021.pdf
25,Fernando Collor                                               ,AL,PROS,Sim,PEC 10_2021.pdf
26,Flávio Arns                                                   ,PR,PODEMOS,Sim,PEC 10_2021.pdf
27,Flávio Bolsonaro                                              ,RJ,PL,P-NRV,PEC 10_2021.pdf
28,Giordano                                                      ,SP,MDB,Sim,PEC 10_2021.pdf
0,         Altera o inciso,IV,do,"§ 2º do art. 4º da Emenda Constitucional nº 109, de 15 de",PEC 10_2021.pdf
2,Humberto Costa                                                ,PE,PT,Sim,PEC 10_2021.pdf
3,Irajá                                                         ,TO,PSD,P-NRV,PEC 10_2021.pdf
4,Izalci Lucas                                                  ,DF,PSDB,Sim,PEC 10_2021.pdf
5,Jader Barbalho                                                ,PA,MDB,Sim,PEC 10_2021.pdf
6,Jaques Wagner                                                 ,BA,PT,P-NRV,PEC 10_2021.pdf
7,Jarbas Vasconcelos                                            ,PE,MDB,Sim,PEC 10_2021.pdf
8,Jayme Campos                                                  ,MT,DEM,Sim,PEC 10_2021.pdf
9,Paul Prates                                              ,RN,PT,Sim,PEC 10_2021.pdf
10,Jorge Kajuru                                                  ,GO,PODEMOS,Sim,PEC 10_2021.pdf
11,Jorginho Mello                                                ,SC,PL,Sim,PEC 10_2021.pdf
12,José Aníbal                                                   ,SP,PSDB,Sim,PEC 10_2021.pdf
13,Kátia Abreu                                                   ,TO,PP,Sim,PEC 10_2021.pdf
14,Lasier Martins                                                ,RS,PODEMOS,P-NRV,PEC 10_2021.pdf
15,Leila Barros                                                  ,DF,CIDADANIA,Sim,PEC 10_2021.pdf
16,Lucas Barreto                                                 ,AP,PSD,Sim,PEC 10_2021.pdf
17,Luis Carlos Heinze                                            ,RS,PP,Sim,PEC 10_2021.pdf
18,Luiz Carlos do Carmo                                          ,GO,MDB,Sim,PEC 10_2021.pdf
19,Mailza Gomes                                                  ,AC,PP,Sim,PEC 10_2021.pdf
20,Mara Gabrilli                                                 ,SP,PSDB,Sim,PEC 10_2021.pdf
21,Marcelo Castro                                                 ,PI,MDB,Sim,PEC 10_2021.pdf
22,Marcio Bittar                                                 ,AC,PSL,Não,PEC 10_2021.pdf
23,Marcos do Val                                                 ,ES,PODEMOS,Sim,PEC 10_2021.pdf
24,Marcos Rogério                                                ,RO,DEM,Sim,PEC 10_2021.pdf
25,Maria do Carmo Alves                                          ,SE,DEM,AP,PEC 10_2021.pdf
26,Maria Eliza                                                   ,RO,MDB,Sim,PEC 10_2021.pdf
27,Mecias de Jesus                                               ,RR,REPUBLICANOS,Sim,PEC 10_2021.pdf
28,Nelsinho Trad                                                 ,MS,PSD,MIS,PEC 10_2021.pdf
0,        Altera o inciso,IV,do,"§ 2º do art. 4º da Emenda Constitucional nº 109, de 15 de",PEC 10_2021.pdf
2,Nilda Gondim                                                  ,PB,MDB,Sim,PEC 10_2021.pdf
3,Omar Aziz                                                    ,AM,PSD,Sim,PEC 10_2021.pdf
4,Oriovisto Guimarães                                           ,PR,PODEMOS,Sim,PEC 10_2021.pdf
5,Otto Alencar                                                  ,BA,PSD,Sim,PEC 10_2021.pdf
6,Paulo Paim                                                    ,RS,PT,Sim,PEC 10_2021.pdf
7,Paulo Rocha                                                   ,PA,PT,Sim,PEC 10_2021.pdf
8,Plínio Valério                                               ,AM,PSDB,Sim,PEC 10_2021.pdf
9,Randolfe Rodrigues                                            ,AP,REDE,Sim,PEC 10_2021.pdf
10,Reguffe                                                       ,DF,PODEMOS,Sim,PEC 10_2021.pdf
11,Renan Calheiros                                               ,AL,MDB,AP,PEC 10_2021.pdf
12,Roberto Rocha                                                ,MA,PSDB,Sim,PEC 10_2021.pdf
13,Rodrigo Cunha                                                 ,AL,PSDB,Sim,PEC 10_2021.pdf
14,Rodrigo Pacheco                                              ,MG,PSD,Presidente (art. 51 RISF),PEC 10_2021.pdf
15,Rogério Carvalho                                              ,SE,PT,Sim,PEC 10_2021.pdf
16,Romário                                                       ,RJ,PL,Sim,PEC 10_2021.pdf
17,Rose de Freitas                                               ,ES,MDB,Sim,PEC 10_2021.pdf
18,Sérgio Petecão                                                ,AC,PSD,P-NRV,PEC 10_2021.pdf
19,Simone Tebet                                                  ,MS,MDB,Sim,PEC 10_2021.pdf
20,Soraya Thronicke                                              ,MS,PSL,Sim,PEC 10_2021.pdf
21,Styvenson Valentim                                            ,RN,PODEMOS,Sim,PEC 10_2021.pdf
22,Telmário Mota                                                 ,RR,PROS,MIS,PEC 10_2021.pdf
23,Vanderlan Cardoso                                             ,GO,PSD,Sim,PEC 10_2021.pdf
24,Veneziano Vital do Rêgo                                       ,PB,MDB,Sim,PEC 10_2021.pdf
25,Wellington Fagundes                                           ,MT,PL,P-NRV,PEC 10_2021.pdf
26,Weverton                                                     ,MA,PDT,Sim,PEC 10_2021.pdf
27,Zenaide Maia                                                  ,RN,PROS,Sim,PEC 10_2021.pdf
28,Zequinha Marinho                                              ,PA,PSC,MIS,PEC 10_2021.pdf
0,           Altera o inciso,IV,do,"§ 2º do art. 4º da Emenda Constitucional nº 109, de 15 de",PEC 10_2021.pdf
1,Acir Gurgacz                                                  ,RO,PDT,Sim,PEC 11_2022.pdf
2,Alessandro Vieira                                              ,SE,PSDB,Sim,PEC 11_2022.pdf
3,Alexandre Silveira                                            ,MG,PSD,Sim,PEC 11_2022.pdf
4,Alvaro Dias                                                    ,PR,PODEMOS,LS,PEC 11_2022.pdf
5,Angelo Coronel                                                ,BA,PSD,Sim,PEC 11_2022.pdf
6,Carlos Fávaro                                                 ,MT,PSD,Sim,PEC 11_2022.pdf
7,Carlos Portinho                                                ,RJ,PL,Sim,PEC 11_2022.pdf
8,Carlos Viana                                                  ,MG,PL,Sim,PEC 11_2022.pdf
9,Chico Rodrigues                                               ,RR,UNIÃO,Sim,PEC 11_2022.pdf
10,Cid Gomes                                                     ,CE,PDT,NCom,PEC 11_2022.pdf
11,Confúcio Moura                                                ,RO,MDB,Sim,PEC 11_2022.pdf
12,Daniella Ribeiro                                               ,PB,PSD,Sim,PEC 11_2022.pdf
13,Dário Berger                                                   ,SC,PSB,Sim,PEC 11_2022.pdf
14,Davi Alcolumbre                                               ,AP,UNIÃO,Sim,PEC 11_2022.pdf
15, Eudócia                                                  ,AL,PSB,Sim,PEC 11_2022.pdf
16,Eduardo Braga                                                 ,AM,MDB,Sim,PEC 11_2022.pdf
17,Eduardo Girão                                                 ,CE,PODEMOS,Sim,PEC 11_2022.pdf
18,Eduardo Gomes                                                 ,TO,PL,Sim,PEC 11_2022.pdf
19,Eduardo Velloso                                               ,AC,UNIÃO,Sim,PEC 11_2022.pdf
20,Eliane Nogueira                                                ,PI,PP,Sim,PEC 11_2022.pdf
21,Eliziane Gama                                                 ,MA,CIDADANIA,Sim,PEC 11_2022.pdf
22,Elmano Férrer                                                  ,PI,PP,Sim,PEC 11_2022.pdf
23,Esperidião Amin                                                ,SC,PP,Sim,PEC 11_2022.pdf
24,Fabiano Contarato                                              ,ES,PT,Sim,PEC 11_2022.pdf
25,Fabio Garcia                                                  ,MT,UNIÃO,Sim,PEC 11_2022.pdf
26,Fernando Bezerra Coelho                                        ,PE,MDB,Sim,PEC 11_2022.pdf
27,Fernando Collor                                               ,AL,PTB,Sim,PEC 11_2022.pdf
1,Flávio Arns                                                    ,PR,PODEMOS,Sim,PEC 11_2022.pdf
2,Flávio Bolsonaro                                               ,RJ,PL,Sim,PEC 11_2022.pdf
3,Giordano                                                       ,SP,MDB,Sim,PEC 11_2022.pdf
4,Humberto Costa                                                 ,PE,PT,Sim,PEC 11_2022.pdf
5,Irajá                                                          ,TO,PSD,AP,PEC 11_2022.pdf
6,Izalci Lucas                                                   ,DF,PSDB,Sim,PEC 11_2022.pdf
7,Jader Barbalho                                                 ,PA,MDB,Sim,PEC 11_2022.pdf
8,Jaques Wagner                                                  ,BA,PT,LS,PEC 11_2022.pdf
9,Jarbas Vasconcelos                                             ,PE,MDB,Sim,PEC 11_2022.pdf
10,Paul Prates                                               ,RN,PT,Sim,PEC 11_2022.pdf
11,Jorge Kajuru                                                   ,GO,PODEMOS,Sim,PEC 11_2022.pdf
12,Jorginho Mello                                                 ,SC,PL,Sim,PEC 11_2022.pdf
13,José Serra                                                     ,SP,PSDB,Sim,PEC 11_2022.pdf
14,Kátia Abreu                                                    ,TO,PP,Sim,PEC 11_2022.pdf
15,Lasier Martins                                                 ,RS,PODEMOS,Sim,PEC 11_2022.pdf
16,Leila Barros                                                   ,DF,PDT,Sim,PEC 11_2022.pdf
17,Lucas Barreto                                                  ,AP,PSD,Sim,PEC 11_2022.pdf
18,Luis Carlos Heinze                                             ,RS,PP,Sim,PEC 11_2022.pdf
19,Luiz Carlos do Carmo                                           ,GO,PSC,Sim,PEC 11_2022.pdf
20,Mailza Gomes                                                   ,AC,PP,Sim,PEC 11_2022.pdf
21,Mara Gabrilli                                                  ,SP,PSDB,Sim,PEC 11_2022.pdf
22,Marcelo Castro                                                 ,PI,MDB,Sim,PEC 11_2022.pdf
23,Marcos do Val                                                  ,ES,PODEMOS,Sim,PEC 11_2022.pdf
24,Marcos Rogério                                                 ,RO,PL,P-NRV,PEC 11_2022.pdf
25,Maria do Carmo Alves                                           ,SE,PP,AP,PEC 11_2022.pdf
26,Mecias de Jesus                                                ,RR,REPUBLICANOS,Sim,PEC 11_2022.pdf
27,Nelsinho Trad                                                  ,MS,PSD,Sim,PEC 11_2022.pdf
1,Nilda Gondim                                                  ,PB,MDB,Sim,PEC 11_2022.pdf
2,Omar Aziz                                                     ,AM,PSD,Sim,PEC 11_2022.pdf
3,Oriovisto Guimarães                                           ,PR,PODEMOS,Sim,PEC 11_2022.pdf
4,Otto Alencar                                                  ,BA,PSD,Sim,PEC 11_2022.pdf
5,Paulo Paim                                                    ,RS,PT,Sim,PEC 11_2022.pdf
6,Paulo Rocha                                                   ,PA,PT,Sim,PEC 11_2022.pdf
7,Plínio Valério                                                ,AM,PSDB,Sim,PEC 11_2022.pdf
8,Randolfe Rodrigues                                            ,AP,REDE,Sim,PEC 11_2022.pdf
9,Reguffe                                                       ,DF,UNIÃO,Sim,PEC 11_2022.pdf
10,Renan Calheiros                                               ,AL,MDB,Sim,PEC 11_2022.pdf
11,Roberto Rocha                                                 ,MA,PTB,Sim,PEC 11_2022.pdf
12,Rodrigo Pacheco                                               ,MG,PSD,Sim,PEC 11_2022.pdf
13,Rogério Carvalho                                               ,SE,PT,Sim,PEC 11_2022.pdf
14,Romário                                                        ,RJ,PL,Sim,PEC 11_2022.pdf
15,Rose de Freitas                                                ,ES,MDB,Sim,PEC 11_2022.pdf
16,Sérgio Petecão                                                ,AC,PSD,Sim,PEC 11_2022.pdf
17,Simone Tebet                                                  ,MS,MDB,Sim,PEC 11_2022.pdf
18,Soraya Thronicke                                              ,MS,UNIÃO,Sim,PEC 11_2022.pdf
19,Styvenson Valentim                                            ,RN,PODEMOS,Sim,PEC 11_2022.pdf
20,Tasso Jereissati                                              ,CE,PSDB,Sim,PEC 11_2022.pdf
21,Telmário Mota                                                 ,RR,PROS,Sim,PEC 11_2022.pdf
22,Vanderlan Cardoso                                             ,GO,PSD,LP,PEC 11_2022.pdf
23,Veneziano Vital do Rêgo                                       ,PB,MDB,Presidente (art. 51 RISF),PEC 11_2022.pdf
24,Wellington Fagundes                                           ,MT,PL,Sim,PEC 11_2022.pdf
25,Weverton                                                      ,MA,PDT,Sim,PEC 11_2022.pdf
26,Zenaide Maia                                                  ,RN,PROS,Sim,PEC 11_2022.pdf
27,Zequinha Marinho                                              ,PA,PL,AP,PEC 11_2022.pdf
1,Acir Gurgacz                                                  ,RO,PDT,Não,PEC 13_2021.pdf
2,Alessandro Vieira                                              ,SE,CIDADANIA,Sim,PEC 13_2021.pdf
3,Alvaro Dias                                                    ,PR,PODEMOS,Não,PEC 13_2021.pdf
4,Angelo Coronel                                                ,BA,PSD,Sim,PEC 13_2021.pdf
5,Antonio Anastasia                                             ,MG,PSD,Sim,PEC 13_2021.pdf
6,Carlos Fávaro                                                 ,MT,PSD,Não,PEC 13_2021.pdf
7,Carlos Portinho                                                ,RJ,PL,Sim,PEC 13_2021.pdf
8,Carlos Viana                                                  ,MG,PSD,Sim,PEC 13_2021.pdf
9,Chico Rodrigues                                               ,RR,DEM,Não,PEC 13_2021.pdf
10,Cid Gomes                                                     ,CE,PDT,P-NRV,PEC 13_2021.pdf
11,Confúcio Moura                                                ,RO,MDB,Sim,PEC 13_2021.pdf
12,Daniella Ribeiro                                               ,PB,PP,Sim,PEC 13_2021.pdf
13,Dário Berger                                                   ,SC,MDB,Não,PEC 13_2021.pdf
14,Davi Alcolumbre                                               ,AP,DEM,AP,PEC 13_2021.pdf
15,Eduardo Braga                                                 ,AM,MDB,AP,PEC 13_2021.pdf
16,Eduardo Girão                                                 ,CE,PODEMOS,Não,PEC 13_2021.pdf
17,Eduardo Gomes                                                 ,TO,MDB,Não,PEC 13_2021.pdf
18,Eliane Nogueira                                                ,PI,PP,Sim,PEC 13_2021.pdf
19,Eliziane Gama                                                 ,MA,CIDADANIA,P-NRV,PEC 13_2021.pdf
20,Elmano Férrer                                                  ,PI,PP,Não,PEC 13_2021.pdf
21,Esperidião Amin                                                ,SC,PP,Sim,PEC 13_2021.pdf
22,Fabiano Contarato                                              ,ES,REDE,Não,PEC 13_2021.pdf
23,Fernando Bezerra Coelho                                        ,PE,MDB,P-NRV,PEC 13_2021.pdf
24,Fernando Collor                                               ,AL,PROS,Sim,PEC 13_2021.pdf
25,Flávio Arns                                                    ,PR,PODEMOS,Não,PEC 13_2021.pdf
26,Flávio Bolsonaro                                               ,RJ,PATRIOTA,Não,PEC 13_2021.pdf
27,Giordano                                                       ,SP,MDB,Não,PEC 13_2021.pdf
1,Humberto Costa                                                 ,PE,PT,Não,PEC 13_2021.pdf
2,Irajá                                                          ,TO,PSD,Sim,PEC 13_2021.pdf
3,Izalci Lucas                                                   ,DF,PSDB,Sim,PEC 13_2021.pdf
4,Jader Barbalho                                                 ,PA,MDB,Não,PEC 13_2021.pdf
5,Jaques Wagner                                                 ,BA,PT,Não,PEC 13_2021.pdf
6,Jarbas Vasconcelos                                             ,PE,MDB,LS,PEC 13_2021.pdf
7,Jayme Campos                                                  ,MT,DEM,Não,PEC 13_2021.pdf
8,Paul Prates                                              ,RN,PT,Não,PEC 13_2021.pdf
9,Jorge Kajuru                                                  ,GO,PODEMOS,Não,PEC 13_2021.pdf
10,Jorginho Mello                                                 ,SC,PL,P-NRV,PEC 13_2021.pdf
11,José Aníbal                                                    ,SP,PSDB,Sim,PEC 13_2021.pdf
12,Kátia Abreu                                                    ,TO,PP,Sim,PEC 13_2021.pdf
13,Lasier Martins                                                 ,RS,PODEMOS,Não,PEC 13_2021.pdf
14,Leila Barros                                                   ,DF,CIDADANIA,Não,PEC 13_2021.pdf
15,Lucas Barreto                                                  ,AP,PSD,P-NRV,PEC 13_2021.pdf
16,Luis Carlos Heinze                                             ,RS,PP,Sim,PEC 13_2021.pdf
17,Luiz Carlos do Carmo                                          ,GO,MDB,P-NRV,PEC 13_2021.pdf
18,Mailza Gomes                                                  ,AC,PP,AP,PEC 13_2021.pdf
19,Mara Gabrilli                                                  ,SP,PSDB,Não,PEC 13_2021.pdf
20,Marcelo Castro                                                 ,PI,MDB,Não,PEC 13_2021.pdf
21,Marcio Bittar                                                 ,AC,MDB,Sim,PEC 13_2021.pdf
22,Marcos do Val                                                  ,ES,PODEMOS,Não,PEC 13_2021.pdf
23,Marcos Rogério                                                ,RO,DEM,Não,PEC 13_2021.pdf
24,Maria do Carmo Alves                                           ,SE,DEM,AP,PEC 13_2021.pdf
25,Mecias de Jesus                                                ,RR,REPUBLICANOS,P-NRV,PEC 13_2021.pdf
26,Nelsinho Trad                                                 ,MS,PSD,Sim,PEC 13_2021.pdf
27,Nilda Gondim                                                   ,PB,MDB,Não,PEC 13_2021.pdf
1,Omar Aziz                                                     ,AM,PSD,Sim,PEC 13_2021.pdf
2,Oriovisto Guimarães                                            ,PR,PODEMOS,P-NRV,PEC 13_2021.pdf
3,Otto Alencar                                                  ,BA,PSD,Não,PEC 13_2021.pdf
4,Paulo Paim                                                     ,RS,PT,Não,PEC 13_2021.pdf
5,Paulo Rocha                                                    ,PA,PT,Não,PEC 13_2021.pdf
6,Plínio Valério                                                ,AM,PSDB,Não,PEC 13_2021.pdf
7,Randolfe Rodrigues                                             ,AP,REDE,Não,PEC 13_2021.pdf
8,Reguffe                                                        ,DF,PODEMOS,Sim,PEC 13_2021.pdf
9,Renan Calheiros                                                ,AL,MDB,P-NRV,PEC 13_2021.pdf
10,Roberto Rocha                                                 ,MA,PSDB,Sim,PEC 13_2021.pdf
11,Rodrigo Cunha                                                  ,AL,PSDB,Sim,PEC 13_2021.pdf
12,Rodrigo Pacheco                                               ,MG,DEM,Presidente (art. 51 RISF),PEC 13_2021.pdf
13,Rogério Carvalho                                               ,SE,PT,Não,PEC 13_2021.pdf
14,Romário                                                        ,RJ,PL,Sim,PEC 13_2021.pdf
15,Rose de Freitas                                                ,ES,MDB,Sim,PEC 13_2021.pdf
16,Sérgio Petecão                                                ,AC,PSD,Sim,PEC 13_2021.pdf
17,Simone Tebet                                                  ,MS,MDB,Sim,PEC 13_2021.pdf
18,Soraya Thronicke                                              ,MS,PSL,Não,PEC 13_2021.pdf
19,Styvenson Valentim                                            ,RN,PODEMOS,Não,PEC 13_2021.pdf
20,Tasso Jereissati                                               ,CE,PSDB,Não,PEC 13_2021.pdf
21,Telmário Mota                                                  ,RR,PROS,Sim,PEC 13_2021.pdf
22,Vanderlan Cardoso                                             ,GO,PSD,Não,PEC 13_2021.pdf
23,Veneziano Vital do Rêgo                                        ,PB,MDB,Não,PEC 13_2021.pdf
24,Wellington Fagundes                                           ,MT,PL,Sim,PEC 13_2021.pdf
25,Weverton                                                      ,MA,PDT,Não,PEC 13_2021.pdf
26,Zenaide Maia                                                  ,RN,PROS,Não,PEC 13_2021.pdf
27,Zequinha Marinho                                               ,PA,PSC,Não,PEC 13_2021.pdf
1,Acir Gurgacz                                                  ,RO,PDT,Sim,PEC 15_2022.pdf
2,Alessandro Vieira                                              ,SE,PSDB,Sim,PEC 15_2022.pdf
3,Alexandre Silveira                                            ,MG,PSD,Sim,PEC 15_2022.pdf
4,Alvaro Dias                                                    ,PR,PODEMOS,Sim,PEC 15_2022.pdf
5,Angelo Coronel                                                ,BA,PSD,Sim,PEC 15_2022.pdf
6,Carlos Portinho                                                ,RJ,PL,Sim,PEC 15_2022.pdf
7,Carlos Viana                                                  ,MG,PL,Sim,PEC 15_2022.pdf
8,Chico Rodrigues                                               ,RR,UNIÃO,MIS,PEC 15_2022.pdf
9,Cid Gomes                                                     ,CE,PDT,NCom,PEC 15_2022.pdf
10,Confúcio Moura                                                ,RO,MDB,Sim,PEC 15_2022.pdf
11,Daniella Ribeiro                                               ,PB,PSD,Sim,PEC 15_2022.pdf
12,Dário Berger                                                   ,SC,PSB,Sim,PEC 15_2022.pdf
13,Davi Alcolumbre                                               ,AP,UNIÃO,Sim,PEC 15_2022.pdf
14, Eudócia                                                  ,AL,PSB,Sim,PEC 15_2022.pdf
15,Eduardo Braga                                                 ,AM,MDB,Sim,PEC 15_2022.pdf
16,Eduardo Girão                                                 ,CE,PODEMOS,Sim,PEC 15_2022.pdf
